city,lat,lng
Varna,41.0353,-89.2244
Wood Dale,41.9665,-87.9808
Wenonah,39.32,-89.2879
Davis Junction,42.1144,-89.0898
Tallula,39.9457,-89.9365
Hennepin,41.2589,-89.3216
Mill Creek,37.341,-89.2535
Forest View,41.8073,-87.7798
Harvey,41.6076,-87.6521
Knoxville,40.907,-90.2857
Herscher,41.0493,-88.1006
Gilson,40.863,-90.1997
Forest Park,41.8683,-87.8157
Clayton,40.0301,-90.958
Marietta,40.4995,-90.3931
Griggsville,39.7078,-90.7273
Como,41.7662,-89.7657
Harristown,39.8428,-89.0606
New Bedford,41.5112,-89.7184
Hopewell,40.9842,-89.4572
Holiday Hills,42.2979,-88.2297
Ohlman,39.3434,-89.2192
Libertyville,42.287,-87.967
Colona,41.4678,-90.3446
Iola,38.8341,-88.6279
Polo,41.9847,-89.5788
Cornland,39.9375,-89.4019
Olivet,39.9414,-87.6379
Barry,39.6982,-91.0398
Mark,41.2624,-89.255
Lisle,41.7922,-88.0883
Langleyville,39.5611,-89.3602
Ellis Grove,38.0093,-89.9101
Broadlands,39.9087,-87.9971
Kappa,40.6755,-89.006
Washington,40.7048,-89.4345
Ringwood,42.3974,-88.3032
South Chicago Heights,41.4831,-87.637
La Fayette,41.1097,-89.9735
Palos Hills,41.6986,-87.8266
Elgin,42.0385,-88.3229
Kincaid,39.5868,-89.4166
Crab Orchard,37.7249,-88.8059
Russellville,38.8196,-87.5301
Oakwood,40.1101,-87.7769
Media,40.7694,-90.8326
Annapolis,39.1453,-87.8157
Alsip,41.6701,-87.7368
Sterling,41.7997,-89.6952
Noble,38.6974,-88.2234
Crest Hill,41.5724,-88.1128
Du Quoin,38.0019,-89.2323
Lake Summerset,42.4521,-89.3984
Paderborn,38.3595,-90.0465
Wellington,40.5404,-87.6796
Eureka,40.7145,-89.2774
Limestone,41.1338,-87.9599
Scott AFB,38.5412,-89.8528
Round Lake Park,42.3308,-88.0749
Monee,41.4176,-87.751
Harrison,37.7982,-89.3361
Somonauk,41.642,-88.6732
Milledgeville,41.9637,-89.7748
Baldwin,38.1838,-89.8451
Darien,41.7447,-87.9823
Sheldon,40.771,-87.5658
Ford Heights,41.5109,-87.5814
Hecker,38.3054,-89.9935
Barrington Hills,42.14,-88.2035
Mount Zion,39.7797,-88.8835
East St. Louis,38.6156,-90.1304
Ladd,41.3816,-89.2145
East Cape Girardeau,37.2957,-89.4869
Zion,42.4598,-87.8509
Virginia,39.9525,-90.2107
New Holland,40.1834,-89.5825
Mount Erie,38.5146,-88.2325
Carrollton,39.2948,-90.4062
Chandlerville,40.047,-90.1512
Karnak,37.2941,-88.9758
Mapleton,40.5732,-89.7245
Kenney,40.0981,-89.0862
Maunie,38.0354,-88.0457
Ridott,42.2967,-89.4771
Apple River,42.5022,-90.0937
Cisco,40.0116,-88.7255
Pittsburg,37.7771,-88.8499
Teutopolis,39.1319,-88.4792
Curran,39.7422,-89.7782
Lebanon,38.6013,-89.812
Glenwood,41.5412,-87.6119
Detroit,39.6201,-90.676
Lockport,41.5904,-88.0293
Bellevue,40.6877,-89.6733
Colfax,40.5666,-88.6161
Stone Park,41.9033,-87.8806
Phoenix,41.6118,-87.6308
Jeisyville,39.5793,-89.408
Henderson,41.0238,-90.3535
New Douglas,38.9699,-89.6664
Prestbury,41.7847,-88.4225
Boulder Hill,41.7112,-88.3353
Kirkland,42.0905,-88.8491
Metropolis,37.1566,-88.7083
Beardstown,39.9994,-90.4178
Golden Gate,38.3589,-88.2047
Ridgway,37.7979,-88.2606
Basco,40.3278,-91.1995
Brighton,39.0406,-90.1404
New Grand Chain,37.2552,-89.0165
Industry,40.3269,-90.6082
Topeka,40.3304,-89.9306
New Minden,38.438,-89.3705
Cambridge,41.2984,-90.1907
Essex,41.1819,-88.1928
Hidalgo,39.1559,-88.1491
Port Byron,41.6166,-90.3273
Royalton,37.8774,-89.1142
Ferris,40.4695,-91.1683
Buda,41.3291,-89.6791
Henning,40.3069,-87.701
Ashmore,39.5305,-88.0202
Pawnee,39.5936,-89.5824
Morrison,41.8077,-89.9618
Witt,39.2545,-89.3492
Hanover,42.2552,-90.2736
New Boston,41.1697,-91
Kinderhook,39.7037,-91.1517
Ewing,38.0889,-88.8528
Tiskilwa,41.2927,-89.5085
Sleepy Hollow,42.0913,-88.3137
Grantfork,38.8288,-89.6664
Stanford,40.4318,-89.2208
Milan,41.4416,-90.5595
Kinsman,41.1903,-88.5699
Abingdon,40.8039,-90.4009
Collinsville,38.6769,-90.0059
Lake Petersburg,39.9832,-89.8655
Salem,38.6278,-88.9579
Lake Holiday,41.6156,-88.6703
Sauk Village,41.4907,-87.5702
Jerseyville,39.118,-90.3276
Heritage Lake,40.5454,-89.3309
Wayne City,38.3481,-88.5895
Virden,39.5058,-89.7711
St. Augustine,40.7213,-90.407
McLeansboro,38.0902,-88.5386
Eldred,39.2863,-90.5538
Havana,40.295,-90.0566
South Holland,41.5977,-87.6022
Nelson,41.7962,-89.6036
Boody,39.7655,-89.0473
Glenview,42.0825,-87.8216
Sadorus,39.9669,-88.3451
Lake Ka-Ho,39.0998,-89.7464
Jerome,39.7677,-89.6786
Rock Island Arsenal,41.5172,-90.5399
Hollowayville,41.3648,-89.2948
Bismarck,40.2594,-87.6113
Farmington,40.6972,-90.0034
Wyoming,41.0638,-89.7729
Ashkum,40.8782,-87.9531
Lakewood,42.2278,-88.3932
De Land,40.1218,-88.6434
Cowden,39.2492,-88.8595
Alma,38.7231,-88.9119
Worden,38.9315,-89.8404
Bridgeport,38.7094,-87.7591
Sciota,40.5624,-90.748
Fieldon,39.1088,-90.4996
Donovan,40.8848,-87.6142
Tolono,39.9912,-88.2625
Pinckneyville,38.0851,-89.3718
Prophetstown,41.6703,-89.9349
Oreana,39.9378,-88.8685
Lynwood,41.5234,-87.5508
Makanda,37.621,-89.2357
McNabb,41.1772,-89.2096
Batchtown,39.0331,-90.6534
Magnolia,41.1141,-89.1958
East Galesburg,40.9428,-90.311
Greenville,38.8866,-89.3893
