year,county,candidate,party,candidatevotes
2000,Hinsdale,George W. Bush,republican,316.0
2000,Huerfano,Al Gore,democrat,1495.0
2000,Huerfano,George W. Bush,republican,1466.0
2000,Jackson,Al Gore,democrat,173.0
2000,Jackson,George W. Bush,republican,682.0
2000,Jefferson,Al Gore,democrat,100970.0
2000,Jefferson,George W. Bush,republican,120138.0
2000,Kiowa,Al Gore,democrat,211.0
2000,Kiowa,George W. Bush,republican,728.0
2000,Kit Carson,Al Gore,democrat,809.0
2000,Kit Carson,George W. Bush,republican,2542.0
2000,Lake,Al Gore,democrat,1296.0
2000,Lake,George W. Bush,republican,1056.0
2000,La Plata,Al Gore,democrat,7864.0
2000,La Plata,George W. Bush,republican,9993.0
2000,Larimer,Al Gore,democrat,46055.0
2000,Larimer,George W. Bush,republican,62429.0
2000,Las Animas,Al Gore,democrat,3243.0
2000,Las Animas,George W. Bush,republican,2569.0
2000,Lincoln,Al Gore,democrat,510.0
2000,Lincoln,George W. Bush,republican,1630.0
2000,Logan,Al Gore,democrat,2296.0
2000,Logan,George W. Bush,republican,5531.0
2000,Mesa,Al Gore,democrat,15465.0
2000,Mesa,George W. Bush,republican,32396.0
2000,Mineral,Al Gore,democrat,168.0
2000,Mineral,George W. Bush,republican,294.0
2000,Moffat,Al Gore,democrat,1223.0
2000,Moffat,George W. Bush,republican,3840.0
2000,Montezuma,Al Gore,democrat,2556.0
2000,Montezuma,George W. Bush,republican,6158.0
2000,Montrose,Al Gore,democrat,4041.0
2000,Montrose,George W. Bush,republican,9266.0
2000,Morgan,Al Gore,democrat,2885.0
2000,Morgan,George W. Bush,republican,5722.0
2000,Otero,Al Gore,democrat,2963.0
2000,Otero,George W. Bush,republican,4082.0
2000,Ouray,Al Gore,democrat,705.0
2000,Ouray,George W. Bush,republican,1279.0
2000,Park,Al Gore,democrat,2393.0
2000,Park,George W. Bush,republican,3677.0
2000,Phillips,Al Gore,democrat,564.0
2000,Phillips,George W. Bush,republican,1573.0
2000,Pitkin,Al Gore,democrat,4137.0
2000,Pitkin,George W. Bush,republican,2565.0
2000,Prowers,Al Gore,democrat,1361.0
2000,Prowers,George W. Bush,republican,3026.0
2000,Pueblo,Al Gore,democrat,28888.0
2000,Pueblo,George W. Bush,republican,22827.0
2000,Rio Blanco,Al Gore,democrat,543.0
2000,Rio Blanco,George W. Bush,republican,2185.0
2000,Rio Grande,Al Gore,democrat,1707.0
