year,county,candidate,party,candidatevotes
2008,Pope,John McCain,republican,1343.0
2008,Pulaski,Barack Obama,democrat,1638.0
2008,Pulaski,John McCain,republican,1593.0
2008,Putnam,Barack Obama,democrat,1900.0
2008,Putnam,John McCain,republican,1378.0
2008,Randolph,Barack Obama,democrat,7395.0
2008,Randolph,John McCain,republican,7538.0
2008,Richland,Barack Obama,democrat,3181.0
2008,Richland,John McCain,republican,4329.0
2008,Rock Island,Barack Obama,democrat,42210.0
2008,Rock Island,John McCain,republican,25364.0
2008,St. Clair,Barack Obama,democrat,76160.0
2008,St. Clair,John McCain,republican,47958.0
2008,Saline,Barack Obama,democrat,5083.0
2008,Saline,John McCain,republican,6099.0
2008,Sangamon,Barack Obama,democrat,51300.0
2008,Sangamon,John McCain,republican,46945.0
2008,Schuyler,Barack Obama,democrat,1900.0
2008,Schuyler,John McCain,republican,1833.0
2008,Scott,Barack Obama,democrat,1090.0
2008,Scott,John McCain,republican,1455.0
2008,Shelby,Barack Obama,democrat,4245.0
2008,Shelby,John McCain,republican,6396.0
2008,Stark,Barack Obama,democrat,1357.0
2008,Stark,John McCain,republican,1513.0
2008,Stephenson,Barack Obama,democrat,11349.0
2008,Stephenson,John McCain,republican,9909.0
2008,Tazewell,Barack Obama,democrat,29384.0
2008,Tazewell,John McCain,republican,33247.0
2008,Union,Barack Obama,democrat,3918.0
2008,Union,John McCain,republican,5003.0
2008,Vermilion,Barack Obama,democrat,16246.0
2008,Vermilion,John McCain,republican,16054.0
2008,Wabash,Barack Obama,democrat,2462.0
2008,Wabash,John McCain,republican,3254.0
2008,Warren,Barack Obama,democrat,4286.0
2008,Warren,John McCain,republican,3637.0
2008,Washington,Barack Obama,democrat,3342.0
2008,Washington,John McCain,republican,4473.0
2008,Wayne,Barack Obama,democrat,2547.0
2008,Wayne,John McCain,republican,5390.0
2008,White,Barack Obama,democrat,3315.0
2008,White,John McCain,republican,3987.0
2008,Whiteside,Barack Obama,democrat,15607.0
2008,Whiteside,John McCain,republican,10883.0
2008,Will,Barack Obama,democrat,160406.0
2008,Will,John McCain,republican,122597.0
2008,Williamson,Barack Obama,democrat,12914.0
2008,Williamson,John McCain,republican,17387.0
2008,Winnebago,Barack Obama,democrat,70034.0
2008,Winnebago,John McCain,republican,53886.0
2008,Woodford,Barack Obama,democrat,6999.0
2008,Woodford,John McCain,republican,12191.0
2012,Adams,Barack Obama,democrat,9648.0
